
metadata
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,
1,,,2026-06-25T16:19:53Z,,18.345337109640241,-64.692503493279219,18.346646865829825,-64.690946387127042,

author
ID,name,email,

copyright
year,license,author,

link
metadataID,authorID,wptID,rteptID,trkptID,rteID,trkID,text,type,href,
1,,,,,,,"Garmin International",,http://www.garmin.com,
,,138,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050138.JPG,
,,139,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050139.JPG,
,,140,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050140.JPG,
,,141,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050141.JPG,
,,142,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050142.JPG,
,,143,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050143.JPG,
,,144,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050144.JPG,
,,145,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050145.JPG,
,,146,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050146.JPG,
,,147,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050147.JPG,
,,148,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050148.JPG,
,,149,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050149.JPG,
,,150,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050150.JPG,
,,151,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050151.JPG,
,,152,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050152.JPG,
,,153,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050153.JPG,
,,154,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050154.JPG,
,,155,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050155.JPG,
,,156,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050156.JPG,
,,157,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050157.JPG,
,,158,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050158.JPG,
,,159,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050159.JPG,
,,160,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050160.JPG,
,,161,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050161.JPG,
,,162,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050162.JPG,
,,163,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050163.JPG,
